TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
BAUH4;70,00;1,73;-95,65;3,81;2,26;21,55;3,82;-1,82;45,59;43,36;-2,23;-0,19;1,74;29,91;-4,11;1,20;-3,98;-2,36;-3,45;0,59;0,41;1,30;3,33;;13.218,50;18,39;-0,73;0,66;365.555.540,00
BEEF11;3,62;;6,26;5,36;0,11;19,56;7,51;1,21;1,01;5,75;3,54;18,78;0,08;0,56;-0,27;1,50;85,67;1,77;14,51;0,02;0,95;1,46;20,68;;;0,67;0,58;-0,12;4.803.611.749,37
BEEF3;7,93;6,96;13,68;11,72;0,24;19,56;7,51;1,21;2,21;5,75;3,54;18,78;0,17;1,23;-0,59;1,50;85,67;1,77;14,51;0,02;0,95;1,46;20,68;;82.758.393,31;0,67;0,58;-0,25;4.803.611.749,37
BRFS3;10,85;;-5,31;1,99;0,34;15,12;-0,54;-6,32;-62,66;-117,48;-54,82;1,74;0,34;8,03;-0,60;1,10;-37,45;-6,31;-1,11;0,17;0,82;1,00;13,70;;247.849.359,31;5,44;-2,04;-0,04;18.187.535.789,26
BSEV3;9,00;;10,22;-10,84;0,78;26,77;17,92;5,55;3,17;5,46;2,30;;0,57;-1,59;-1,13;0,39;-106,05;7,59;30,90;-0,07;1,07;1,37;10,88;;;-0,83;0,88;-0,06;9.183.864.834,00
CAML3;7,61;3,78;5,48;0,89;0,29;20,98;8,22;4,71;3,14;6,63;3,49;0,98;0,26;1,05;-0,64;1,99;16,16;5,26;10,72;0,33;0,67;1,12;16,96;14,10;10.335.049,76;8,57;1,38;0,02;2.656.500.000,00
JALL3;8,45;5,21;3,23;1,30;0,41;30,21;51,55;42,37;2,66;5,33;2,67;1,31;1,37;1,97;-0,62;2,53;40,16;12,66;16,71;0,32;0,68;0,30;;;8.334.229,00;6,55;2,63;;2.580.105.844,00
JBSS3;18,97;10,57;9,04;0,99;0,21;-4,09;-3,86;1,26;-2,96;-8,61;-5,65;1,89;0,11;1,95;-0,33;1,43;10,97;2,34;-12,57;0,21;0,77;1,85;18,10;54,13;144.898.487,48;19,10;2,10;-0,11;41.988.942.884,10
JOPA3;21,00;3,91;15,52;0,39;0,10;19,66;4,75;0,65;2,13;8,39;6,24;1,14;0,10;0,31;-0,35;1,78;2,51;0,64;5,08;0,25;0,66;0,98;16,21;-5,65;43.229,00;53,87;1,35;-0,25;223.911.091,40
JOPA4;33,80;2,67;24,98;0,63;0,16;19,66;4,75;0,65;3,43;8,39;6,24;1,14;0,16;0,51;-0,57;1,78;2,51;0,64;5,08;0,25;0,66;0,98;16,21;-5,65;3.380,00;53,87;1,35;-0,40;223.911.091,40
MDIA3;36,01;0,55;24,58;1,75;1,05;28,47;5,98;4,50;18,49;20,23;1,74;0,17;1,11;4,57;-1,88;2,07;7,12;4,26;5,78;0,60;0,40;0,95;13,34;-10,00;43.088.005,17;20,64;1,47;-1,26;12.251.460.000,00
MNPR3;15,35;;-70,27;-0,33;0,34;28,24;9,29;-0,40;3,06;3,06;0,00;;0,28;-0,29;-0,78;0,33;-0,47;-0,48;-10,56;-1,01;2,02;1,19;13,94;;72.175,00;-46,09;-0,22;0,68;108.986.535,00
MRFG3;6,85;13,34;-4,04;1,62;0,05;11,10;1,10;-1,17;4,31;32,98;28,67;10,74;0,05;1,19;-0,08;1,14;-39,99;-1,28;1,44;0,03;0,82;1,09;66,77;;83.837.300,83;4,22;-1,69;0,03;6.547.200.000,00
ODER4;98,91;1,19;9,34;2,31;1,33;31,01;18,23;14,59;7,48;8,41;0,93;0,29;1,36;2,65;-4,47;3,52;24,73;14,26;20,17;0,58;0,42;0,98;18,87;47,44;9.450,50;42,80;10,59;0,56;1.116.407.654,46
SMTO3;38,37;4,29;13,38;2,30;0,72;31,37;30,95;16,17;6,99;10,39;3,39;1,11;2,16;4,42;-1,03;2,17;17,16;5,39;11,29;0,31;0,69;0,33;14,04;15,59;67.667.087,34;16,70;2,87;-0,41;13.572.794.353,86
