TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AESB3;11,50;;46,55;1,53;0,34;34,55;27,40;4,68;7,95;17,93;9,82;1,89;2,18;4,01;-0,43;1,64;3,29;0,73;4,29;0,22;0,73;0,16;;;23.626.354,03;7,32;0,24;-0,67;6.747.605.156,31
AFLT3;8,60;2,95;14,33;2,07;1,82;59,73;49,97;48,96;14,04;14,50;-0,47;-0,07;7,02;9,66;-2,42;4,34;14,46;12,72;13,28;0,88;0,12;0,26;24,96;25,66;12.448,17;4,30;0,62;-0,23;562.084.677,00
ALUP11;29,60;5,85;11,52;1,17;0,31;76,94;72,93;23,99;3,79;7,76;3,93;1,22;2,76;2,84;-0,38;2,44;10,19;2,70;9,59;0,27;0,61;0,11;20,04;18,11;20.425.265,38;24,49;2,50;-0,40;8.758.761.244,32
ALUP3;9,93;5,83;11,54;1,18;0,31;76,94;72,93;23,99;3,80;7,76;3,93;1,22;2,77;2,84;-0,38;2,44;10,19;2,70;9,59;0,27;0,61;0,11;20,04;18,11;124.497,21;8,16;0,83;-0,40;8.758.761.244,32
ALUP4;9,82;5,86;11,48;1,17;0,31;76,94;72,93;23,99;3,78;7,76;3,93;1,22;2,76;2,83;-0,38;2,44;10,19;2,70;9,59;0,27;0,61;0,11;20,04;18,11;246.924,59;8,16;0,83;-0,40;8.758.761.244,32
AURE3;13,93;10,90;4,44;0,93;0,42;21,03;27,60;52,70;8,49;8,88;0,27;0,03;2,34;2,83;-0,58;2,12;20,94;9,38;5,22;0,45;0,55;0,18;;;35.813.403,10;14,79;3,10;0,00;13.760.000.000,00
CBEE3;13,70;;-23,89;0,63;0,19;16,74;10,95;-1,79;3,90;9,91;6,00;0,97;0,43;-1,63;-0,23;0,64;-2,64;-0,78;7,73;0,29;0,71;0,43;7,69;;7.973,50;21,70;-0,57;0,09;3.290.875.917,70
CEBR3;13,62;10,97;5,20;0,98;0,70;43,45;84,65;66,35;4,08;1,55;-2,60;-0,62;3,45;1,61;-1,46;5,72;18,78;13,38;13,13;0,71;0,11;0,20;-34,71;7,64;78.461,76;13,92;2,61;-3,76;1.020.091.171,50
CEBR5;13,70;11,03;5,17;0,97;0,69;43,45;84,65;66,35;4,05;1,55;-2,60;-0,62;3,43;1,60;-1,45;5,72;18,78;13,38;13,13;0,71;0,11;0,20;-34,71;7,64;37.089,89;13,92;2,61;-3,74;1.020.091.171,50
CEBR6;15,15;11,16;5,62;1,06;0,75;43,45;84,65;66,35;4,41;1,55;-2,60;-0,62;3,73;1,74;-1,58;5,72;18,78;13,38;13,13;0,71;0,11;0,20;-34,71;7,64;138.662,97;13,92;2,61;-4,07;1.020.091.171,50
